class,image,area,aspect_ratio,bbox_area,bbox_height,bbox_width,centroid_x,centroid_y,circularity,compactness,dominant_hue,edge_density,edge_density_body,edge_density_top,elongation_ratio,extent,gradient_mean,gradient_std,homogeneity,hue_mean,hue_std,intensity_mean,intensity_range,intensity_std,is_brown_color,is_metallic_color,is_transparent_color,metallic_score,num_vertices,orientation_angle,perimeter,rotated_height,rotated_width,saturation_mean,saturation_std,solidity,specular_ratio,specular_ratio_top,texture_variance,value_mean,value_std
LATA,undist_1764002157.png,89719.0,1.3347280334728033,304964,478,638,128.96709541271449,266.7827086050149,0.10449646824079972,27.31417492510056,0,0.04785596089991562,0.01574383737480462,0.010023445114723006,1.3354297693920336,0.2941953804383468,35.91983629134949,69.04813913616601,0.6351198557064469,47.60532804400951,51.16061377465396,180.01994454976824,248.0,28.72529814767758,0.0,0.0,0.0,0.523789718356283,6,90.0,3284.7047456502914,637.0,477.0,55.829068633359995,74.78321591961968,0.4892931837951185,0.3106637589997041,0.12141981098044874,825.142753672969,198.31390748797298,38.73859440932869
LATA,undist_1764002159.png,89765.5,1.3347280334728033,304964,478,638,129.03672903286898,266.85175076542026,0.10422855377106151,27.286205838852734,0,0.050196602446851625,0.01623719667135285,0.01138010062959353,1.3354297693920336,0.29434785745202713,36.0609704792819,69.31743921701214,0.6350675924575284,46.96913505876167,50.63808994631102,180.14869497595865,247.0,28.731776890888778,0.0,0.0,0.0,0.5239176401986285,6,90.0,3289.775813102722,637.0,477.0,55.87974940033515,74.56175394461634,0.48923460948378994,0.312866233666663,0.12116840966462315,825.5150033078104,198.4384070273053,38.64326094460521
LATA,undist_1764002161.png,89675.5,1.3347280334728033,304964,478,638,128.52771752968573,266.67568436566654,0.10410233462539131,27.25600536306144,0,0.05043196070692453,0.01628958880903939,0.011445957693422196,1.3354297693920336,0.29405274065135556,36.06879120053583,69.54712515954311,0.6355118311462096,47.89831381835724,50.89598645158294,180.4116892514143,246.0,28.676741406717735,0.0,0.0,0.0,0.5240839542089063,6,90.0,3290.1189593076706,637.0,477.0,55.93029425952726,74.5601207339125,0.489365533687861,0.3161645397535412,0.12062369161914387,822.3554977077594,198.74358637021444,38.53668167211935
LATA,undist_1764002163.png,89786.5,1.3347280334728033,304964,478,638,129.15398194606092,267.0709126650443,0.10451596237161037,27.326996499515573,0,0.04809355905477322,0.01580059552396504,0.010181502067911805,1.3354297693920336,0.2944167180388505,35.38328512731554,68.24120737300169,0.6360177128646111,46.620452902914955,50.40976325672596,180.579706970938,246.0,28.614162764117065,0.0,0.0,0.0,0.5209947030251278,6,90.0,3285.6336773633957,637.0,477.0,55.78096187118109,74.78545908827209,0.48967999672770407,0.31358270734324695,0.12045142154380381,818.7703106913837,198.7238781454633,38.42069028089607
LATA,undist_1764002164.png,89620.5,1.3347280334728033,304964,478,638,127.5029764395423,266.59942758632235,0.1000311843040544,26.709542830970538,0,0.04783786451421866,0.015975235982920163,0.009259503174310476,1.3354297693920336,0.29387239149538963,35.57217092378305,69.223990348684,0.6368693969495587,46.82249980807826,50.50998441710061,181.26018007742672,244.0,28.509032212078626,0.0,0.0,0.0,0.521250852570241,6,90.0,3355.373791575432,637.0,477.0,55.633451410898964,74.27914702774204,0.48989816166221156,0.31868879067370015,0.12118148335379504,812.7649176693367,199.32724301679042,38.071530797187556
LATA,undist_1764002166.png,89304.5,1.3347280334728033,304964,478,638,125.79526414309095,265.71715124471143,0.09852076290461943,26.46035233155802,0,0.044522206083014215,0.014560648265383641,0.009364874476436342,1.3354297693920336,0.29283620361747614,35.92421778223115,70.03243941360644,0.6380510189034347,48.09636207579559,51.62931740964773,181.3206677230512,247.0,28.36363945618462,0.0,0.0,0.0,0.5247220841159641,6,90.0,3375.030645132065,637.0,477.0,55.80883841718385,74.52193640444546,0.4902207803614167,0.3159029886878824,0.12131902944776442,804.4960432004331,199.58115454025264,37.94747002307935
LATA,undist_1764002167.png,89854.5,1.3347280334728033,304964,478,638,129.08190092501394,267.1044818753281,0.1051686044968047,27.42256278789416,0,0.04768678601129251,0.015241746055308633,0.01141961486789073,1.3354297693920336,0.2946396951771357,35.280853189539165,68.81386723830909,0.6380774705216723,46.73812754409769,50.79037806006452,180.61718168687355,246.0,28.360390877179153,0.0,0.0,0.0,0.5224613974132052,6,90.0,3276.663114786148,637.0,477.0,55.3740972556572,74.36381146782625,0.4894129245383218,0.31801768284676324,0.12073073868149325,804.3117707063866,198.78358208955225,38.25591469933026
LATA,undist_1764002169.png,89839.0,1.3347280334728033,304964,478,638,129.40532137119365,267.55492603435033,0.10468903337962264,27.357607692998425,0,0.04830748689437799,0.015363994376577221,0.01178841442533126,1.3354297693920336,0.2945888695059089,35.8180427509877,69.40595792367984,0.635718409016479,46.108478434548495,50.365711108866286,179.20267475074695,238.0,28.651175254394605,0.0,0.0,0.0,0.5116965193312903,6,90.0,3283.8763172626495,637.0,477.0,55.880894793866894,74.57598810618472,0.4895178054275836,0.3106059776958182,0.11555555555555555,820.8898434580339,197.49369069637638,38.75341291415203
LATA,undist_1764002171.png,89788.0,1.3347280334728033,304964,478,638,129.1985955807012,267.38661068294203,0.1050532055484212,27.397369776382458,0,0.049210485972711944,0.015730739340382986,0.011735728774268327,1.3354297693920336,0.294421636652195,35.96715496439521,69.43641709093664,0.63492939419947,47.096219968901245,50.75396361310623,179.0853354065833,244.0,28.748913590684946,0.0,0.0,0.0,0.5180631552016868,6,90.0,3277.2489013671875,637.0,477.0,56.03943190030879,74.71887135813887,0.4892412477864051,0.3077571669477234,0.11685949210507167,826.5000326446695,197.45538862486586,38.86283426820104
LATA,undist_1764002173.png,107003.0,1.3347280334728033,304964,478,638,193.08837602684036,234.91788080708017,0.057995700485556176,22.222399159575843,0,0.06910751379496519,0.01950733926528759,0.040620636969521354,1.3354297693920336,0.3508709224695374,53.852354151109246,103.72020826275454,0.5965545682279848,50.879061850858804,52.61035545936512,184.11615223418954,246.0,33.814629311314796,0.0,1.0,0.0,0.5948683870014488,10,90.0,4815.096661329269,637.0,477.0,48.618389626552215,70.45574749068203,0.35444191042145934,0.3597488996055967,0.3721538020907919,1143.4291554616295,200.15321333467546,40.047441845158204
